"id_fatura","id_processamento","id_cliente","fl_ativa","dt_vencimento","vl_minimo_pagamento","vl_fatura"
1332879,2309,31754,N,2021-12-25,0.00,0.00
1282735,2297,31754,N,2021-10-25,0.00,0.00
1307603,2303,31754,N,2021-11-25,0.00,0.00
1210474,2279,31754,N,2021-07-25,0.00,0.00
1258408,2291,31754,N,2021-09-25,0.00,0.00
1164856,2267,31754,N,2021-05-25,0.00,0.00
1187365,2273,31754,N,2021-06-25,0.00,0.00
1234290,2285,31754,N,2021-08-25,0.00,0.00
1866825,2426,31759,S,2023-08-10,115.68,550.46
1693637,2390,31759,N,2023-02-10,168.12,816.63
1750586,2402,31759,N,2023-04-10,110.70,529.55
1722007,2396,31759,N,2023-03-10,60.83,280.18
1665440,2384,31759,N,2023-01-10,102.98,450.99
1637456,2378,31759,N,2022-12-10,138.89,607.98
1609582,2372,31759,N,2022-11-10,161.11,781.61
1581953,2366,31759,N,2022-10-10,161.81,785.11
1527299,2354,31759,N,2022-08-10,461.56,461.56
1554540,2360,31759,N,2022-09-10,86.36,407.85
1500168,2348,31759,N,2022-07-10,187.50,873.57
1447255,2336,31759,N,2022-05-10,119.32,572.65
1420971,2330,31759,N,2022-04-10,118.63,569.21
1473590,2342,31759,N,2022-06-10,159.06,771.33
1369256,2318,31759,N,2022-02-10,167.71,814.57
1395041,2324,31759,N,2022-03-10,80.62,379.12
1318587,2306,31759,N,2021-12-10,161.78,784.95
1343874,2312,31759,N,2022-01-10,88.86,420.34
1269077,2294,31759,N,2021-10-10,145.96,705.85
1244953,2288,31759,N,2021-09-10,127.15,611.78
1293563,2300,31759,N,2021-11-10,103.36,492.85
1174930,2270,31759,N,2021-06-10,0.00,0.00
1866826,2426,31760,S,2023-08-10,0.00,0.00
1750587,2402,31760,N,2023-04-10,0.00,0.00
1665441,2384,31760,N,2023-01-10,209.92,337.92
1693638,2390,31760,N,2023-02-10,345.96,607.17
1637457,2378,31760,N,2022-12-10,375.44,399.62
1609583,2372,31760,N,2022-11-10,177.92,177.92
1581954,2366,31760,N,2022-10-10,427.98,607.22
1527300,2354,31760,N,2022-08-10,208.18,208.18
1554541,2360,31760,N,2022-09-10,215.61,228.67
1500169,2348,31760,N,2022-07-10,148.18,148.18
1420972,2330,31760,N,2022-04-10,149.09,572.67
1447256,2336,31760,N,2022-05-10,405.79,695.42
1369257,2318,31760,N,2022-02-10,272.19,615.02
1395042,2324,31760,N,2022-03-10,111.02,499.20
1318588,2306,31760,N,2021-12-10,139.70,593.08
1343875,2312,31760,N,2022-01-10,98.71,285.80
1220997,2282,31760,N,2021-08-10,115.99,555.99
1244954,2288,31760,N,2021-09-10,219.84,614.27
1293564,2300,31760,N,2021-11-10,177.65,583.20
1152569,2264,31760,N,2021-05-10,0.00,0.00
1197611,2276,31760,N,2021-07-10,206.94,596.52
1174931,2270,31760,N,2021-06-10,115.02,551.14
1854455,2423,31763,N,2023-07-25,0.00,0.00
1883876,2429,31763,S,2023-08-25,0.00,0.00
1825201,2417,31763,N,2023-06-25,0.00,0.00
1796112,2411,31763,N,2023-05-25,0.00,0.00
1767159,2405,31763,N,2023-04-25,0.00,0.00
1709921,2393,31763,N,2023-02-25,0.00,0.00
1738407,2399,31763,N,2023-03-25,0.00,0.00
1681601,2387,31763,N,2023-01-25,0.00,0.00
1653491,2381,31763,N,2022-12-25,0.00,0.00
1542827,2357,31763,N,2022-08-25,0.00,0.00
1597735,2369,31763,N,2022-10-25,0.00,0.00
1625540,2375,31763,N,2022-11-25,0.00,0.00
1435926,2333,31763,N,2022-04-25,65.99,305.99
1515736,2351,31763,N,2022-07-25,0.00,0.00
1462263,2339,31763,N,2022-05-25,218.49,380.08
1488708,2345,31763,N,2022-06-25,0.00,0.00
1383956,2321,31763,N,2022-02-25,215.57,373.49
1409774,2327,31763,N,2022-03-25,0.00,0.00
1358288,2315,31763,N,2022-01-25,65.99,305.99
1332880,2309,31763,N,2021-12-25,82.09,323.35
1282736,2297,31763,N,2021-10-25,73.03,316.70
1307604,2303,31763,N,2021-11-25,6.84,9.37
1210475,2279,31763,N,2021-07-25,65.99,305.99
1258409,2291,31763,N,2021-09-25,65.99,305.99
1187366,2273,31763,N,2021-06-25,0.00,0.00
1234291,2285,31763,N,2021-08-25,0.00,0.00
1164857,2267,31763,N,2021-05-25,0.00,0.00
1866829,2426,31765,S,2023-08-10,160.31,324.65
1750590,2402,31765,N,2023-04-10,222.81,225.77
1665444,2384,31765,N,2023-01-10,767.63,1035.48
1637460,2378,31765,N,2022-12-10,393.94,725.76
1609586,2372,31765,N,2022-11-10,384.53,787.82
1581957,2366,31765,N,2022-10-10,309.47,482.95
1554544,2360,31765,N,2022-09-10,138.39,279.53
1527303,2354,31765,N,2022-08-10,83.46,393.34
1500172,2348,31765,N,2022-07-10,49.90,225.53
1420975,2330,31765,N,2022-04-10,177.94,177.94
1473594,2342,31765,N,2022-06-10,53.87,245.41
1369260,2318,31765,N,2022-02-10,177.94,177.94
1318591,2306,31765,N,2021-12-10,441.20,643.72
1343878,2312,31765,N,2022-01-10,279.41,406.29
1269081,2294,31765,N,2021-10-10,0.00,0.00
1244957,2288,31765,N,2021-09-10,122.58,414.36
1293567,2300,31765,N,2021-11-10,87.03,396.89
1197614,2276,31765,N,2021-07-10,86.03,406.21
1152573,2264,31765,N,2021-05-10,0.00,0.00
