"id_cobranca","id_cliente","fl_ativo","fl_status_acordo","dt_entrada","dt_inicio_atraso","dt_inicio_juros","dt_saida","vl_divida_inicial"
14549,24564,S,S,2022-09-18,2022-07-15,2022-09-15,,62.10
12893,24983,N,S,2021-12-20,2021-10-10,2022-01-10,,724.86
12599,25098,N,C,2021-04-30,2021-09-30,2021-09-30,,316.96
13324,25378,N,C,2022-03-20,2021-12-10,2022-03-10,,795.29
13594,25687,N,C,2022-04-23,2022-02-20,2022-04-20,,636.68
13866,26086,N,C,2022-05-28,2022-03-25,2022-05-25,,834.74
13368,26276,N,S,2022-03-25,2022-01-15,2022-03-15,,1372.00
13072,26448,N,S,2022-01-20,2021-11-10,2022-02-10,,717.62
14449,26577,S,S,2022-09-13,2022-07-10,2022-09-10,,410.72
14004,27162,N,C,2022-06-18,2022-04-15,2022-06-15,,837.42
12706,27357,S,P,2021-10-30,2021-08-20,2021-10-20,,774.19
14602,27980,N,S,2022-09-28,2022-07-25,2022-09-25,,500.56
13174,28003,N,C,2022-02-04,2021-11-25,2022-01-25,,515.81
12588,28036,N,S,2021-10-05,2021-07-25,2021-09-25,,521.47
13402,28073,N,C,2021-11-04,2022-03-20,2022-03-20,,519.00
14232,28171,S,S,2022-07-28,2022-05-25,2022-07-25,,762.46
12669,28635,N,C,2021-10-25,2021-08-15,2021-10-15,,1296.83
12550,29331,N,C,2021-09-25,2021-07-15,2021-09-15,,488.19
13200,29735,S,P,2021-10-25,2022-02-10,2022-02-10,,380.80
12673,29735,N,C,2021-10-25,2021-08-15,2021-10-15,,724.24
13387,29829,S,P,2022-03-25,2022-01-15,2022-03-15,,778.89
13913,30186,N,S,2021-06-04,2021-03-25,2022-06-04,,384.40
13957,30392,N,S,2022-06-13,2022-04-10,2022-06-10,,482.70
14031,30573,N,S,2021-12-20,2021-10-10,2022-06-16,,336.82
13434,30587,N,C,2022-04-04,2022-01-25,2022-03-25,,1253.04
12829,30653,N,P,2021-11-30,2021-09-20,2021-11-20,,477.24
14353,31012,S,S,2022-08-23,2022-06-20,2022-08-20,,450.86
12860,31048,N,S,2021-12-05,2021-09-25,2021-11-25,,938.55
14060,31073,S,P,2022-06-28,2022-04-25,2022-06-25,,302.46
14402,31157,S,C,2022-08-28,2022-06-25,2022-08-25,,357.58
12520,31187,N,S,2021-09-20,2021-07-10,2021-09-10,,433.48
12254,31234,N,C,2021-07-05,2021-04-25,2021-06-25,,278.46
12481,31256,N,S,2021-09-11,2021-07-01,2021-09-01,,243.28
13548,31385,N,C,2021-11-30,2022-04-10,2022-04-10,,454.40
12287,31559,N,C,2021-07-20,2021-05-10,2021-07-10,,587.73
14269,31569,S,P,2021-12-20,2022-08-04,2022-08-04,,130.00
12660,31574,N,S,2021-10-25,2021-08-15,2021-10-15,,535.34
12290,31592,N,S,2021-07-20,2021-05-10,2021-07-10,,367.72
13996,31600,S,P,2022-06-18,2022-04-15,2022-06-15,,332.28
14847,31670,N,S,2021-08-25,2021-06-15,2022-10-23,,224.00
13394,31750,S,P,2022-03-25,2022-01-15,2022-03-15,,600.47
13958,14967,N,S,2022-06-13,2022-04-10,2022-06-10,,114.85
13686,16226,N,C,2022-04-28,2022-02-25,2022-04-25,,476.42
12967,18990,N,C,2021-10-30,2021-12-21,2021-12-21,,457.20
14333,19651,S,S,2022-08-18,2022-06-15,2022-08-15,,961.11
14073,22140,N,C,2022-06-28,2022-04-25,2022-06-25,,902.69
14578,22870,S,S,2022-09-28,2022-07-25,2022-09-25,,1076.79
13480,23114,N,P,2021-09-20,2021-07-10,2022-03-28,,362.00
12530,23114,N,C,2021-09-20,2021-07-10,2021-09-10,,487.87
14834,23850,S,S,2022-10-28,2022-08-25,2022-10-25,,1019.20
13026,24624,N,S,2022-01-15,2021-11-05,2022-01-05,,452.75
12841,24756,N,C,2021-11-30,2021-09-20,2021-11-20,,997.89
14653,25098,N,S,2021-04-30,2021-11-13,2022-10-05,,180.00
13752,25753,S,P,2022-05-13,2022-03-10,2022-05-10,,466.08
14529,26065,S,S,2022-09-18,2022-07-15,2022-09-15,,178.66
14151,26844,S,C,2022-07-13,2022-05-10,2022-07-10,,720.76
14565,27074,S,C,2022-09-23,2022-07-20,2022-09-20,,482.86
14280,27310,S,C,2022-08-13,2022-06-10,2022-08-10,,870.74
14493,28338,S,S,2022-09-13,2022-07-10,2022-09-10,,1036.80
12851,28653,N,C,2021-12-05,2021-09-25,2021-11-25,,629.23
13077,28653,N,P,2021-12-05,2022-01-16,2022-01-16,,567.00
14619,28769,N,S,2022-09-28,2022-07-25,2022-09-25,,462.06
13431,29233,N,C,2022-04-04,2022-01-25,2022-03-25,,592.33
14144,29535,N,C,2022-07-13,2022-05-10,2022-07-10,,649.77
12725,29977,N,P,2021-11-04,2021-08-25,2021-10-25,,1173.70
12201,30715,N,S,2021-06-25,2021-04-15,2021-06-15,,623.78
12407,30772,N,S,2021-08-20,2021-06-10,2021-08-10,,450.33
