"id_bloqueio_cliente","id_cliente","id_tipo_bloqueio_cliente","dt_bloqueio","dt_desbloqueio","fl_liberado","dt_vencimento_fatura"
69299,15694,3,2022-11-13,2023-01-18,S,
66095,15694,2,2022-09-13,2022-11-13,S,2022-09-10
60246,15886,2,2022-04-28,2022-05-22,S,2022-04-25
56936,15886,2,2022-02-04,2022-02-05,S,2022-01-25
65565,15886,2,2022-08-28,2022-08-29,S,2022-08-25
57869,15886,2,2022-03-07,2022-03-19,S,2022-02-25
74605,15886,2,2023-02-28,2023-03-04,S,2023-02-25
77661,15886,2,2023-04-28,2023-05-14,S,2023-04-25
73011,15886,2,2023-01-28,2023-02-04,S,2023-01-25
68305,15908,2,2022-10-23,2022-11-04,S,2022-10-20
59361,15996,3,2022-04-13,2022-05-09,S,
56362,15996,9,2022-01-20,2022-04-13,S,2022-01-10
60489,15996,5,2022-05-09,,N,
58130,16029,2,2022-03-20,2022-04-25,S,2022-03-10
56363,16029,2,2022-01-20,2022-02-13,S,2022-01-10
54884,16029,2,2021-11-20,2021-12-12,S,2021-11-10
52224,16029,7,2021-07-30,2021-08-24,S,
78286,16029,3,2023-05-13,,N,
75171,16029,2,2023-03-13,2023-05-13,S,2023-03-10
70729,16029,2,2022-12-13,2023-01-21,S,2022-12-10
69159,16029,2,2022-11-13,2022-11-17,S,2022-11-10
61951,16029,2,2022-06-13,2022-07-29,S,2022-06-10
54903,16084,2,2021-11-20,2021-11-23,S,2021-11-10
81215,16147,2,2023-07-18,,N,2023-07-15
60330,16226,3,2022-04-28,,N,
57880,16226,9,2022-03-07,2022-04-28,S,2022-02-25
82024,16241,2,2023-08-13,2023-08-14,S,2023-08-10
76640,16241,2,2023-04-13,2023-04-17,S,2023-04-10
58137,16273,2,2022-03-20,2022-03-26,S,2022-03-10
54905,16273,2,2021-11-20,2022-01-08,S,2021-11-10
75418,16273,5,2023-03-18,,N,
69162,16273,2,2022-11-13,2023-01-13,S,2022-11-10
66155,16273,2,2022-09-13,2022-09-14,S,2022-09-10
67658,16273,2,2022-10-13,2022-10-20,S,2022-10-10
72409,16273,3,2023-01-13,2023-03-18,S,
61960,16273,2,2022-06-13,2022-07-13,S,2022-06-10
78290,16356,3,2023-05-13,,N,
75204,16356,2,2023-03-13,2023-05-13,S,2023-03-10
67659,16400,2,2022-10-13,2022-10-15,S,2022-10-10
70947,16667,-3,2022-12-14,,N,
81858,16742,2,2023-08-04,2023-08-05,S,2023-08-01
78295,16828,3,2023-05-13,,N,
75244,16828,2,2023-03-13,2023-05-13,S,2023-03-10
79184,16857,2,2023-06-04,2023-07-31,S,2023-06-01
81706,17045,2,2023-07-28,2023-07-29,S,2023-07-25
53802,17116,9,2021-10-05,2021-12-05,S,2021-09-25
55462,17116,3,2021-12-05,,N,
61464,17118,2,2022-05-28,2022-06-04,S,2022-05-25
81354,17118,5,2023-07-20,,N,
66750,17118,3,2022-09-18,2023-07-20,S,
63730,17118,9,2022-07-18,2022-09-18,S,2022-07-15
63634,17162,2,2022-07-13,2022-08-08,S,2022-07-10
54699,17162,2,2021-11-20,2021-11-22,S,2021-11-10
55744,17162,2,2021-12-20,2022-01-04,S,2021-12-10
53374,17162,2,2021-09-20,2021-09-30,S,2021-09-10
60514,17162,2,2022-05-13,2022-06-08,S,2022-05-10
59175,17162,2,2022-04-13,2022-04-15,S,2022-04-10
51953,17162,2,2021-07-20,2021-08-02,S,2021-07-10
80773,17162,2,2023-07-13,2023-07-23,S,2023-07-10
69258,17162,2,2022-11-13,2022-11-30,S,2022-11-10
63635,17224,2,2022-07-13,2022-07-28,S,2022-07-10
79489,17224,2,2023-06-13,2023-06-28,S,2023-06-10
82177,17224,2,2023-08-13,,N,2023-08-10
70772,17224,2,2022-12-13,2022-12-29,S,2022-12-10
73690,17224,2,2023-02-13,2023-03-02,S,2023-02-10
74746,17224,2,2023-02-13,2023-03-02,S,2023-02-10
76732,17224,2,2023-04-13,2023-04-18,S,2023-04-10
66209,17224,2,2022-09-13,2022-10-03,S,2022-09-10
73728,17537,2,2023-02-13,2023-03-03,S,2023-02-10
79251,17592,2,2023-06-08,2023-06-14,S,2023-06-05
76357,17592,2,2023-04-08,2023-05-16,S,2023-04-05
74818,17592,2,2023-03-08,2023-03-11,S,2023-03-05
72728,17685,3,2023-01-18,,N,
69392,17685,2,2022-11-18,2023-01-18,S,2022-11-15
78621,17776,3,2023-05-18,,N,
75460,17776,2,2023-03-18,2023-05-18,S,2023-03-15
58072,17835,9,2022-03-20,2022-05-13,S,2022-03-10
56443,17835,2,2022-01-20,2022-02-12,S,2022-01-10
60922,17835,3,2022-05-13,,N,
76359,17918,2,2023-04-08,2023-04-10,S,2023-04-05
77790,17918,2,2023-05-08,2023-05-09,S,2023-05-05
77741,17987,3,2023-04-28,,N,
74672,17987,2,2023-02-28,2023-04-28,S,2023-02-25
66963,17987,2,2022-09-28,2022-09-29,S,2022-09-25
70183,17987,2,2022-11-28,2023-01-18,S,2022-11-25
75753,17997,2,2023-03-23,2023-03-26,S,2023-03-20
80163,17997,2,2023-06-23,2023-06-29,S,2023-06-20
74293,17997,2,2023-02-23,2023-03-02,S,2023-02-20
54736,18000,9,2021-11-20,2022-01-20,S,2021-11-10
56585,18000,3,2022-01-20,,N,
81260,18102,2,2023-07-18,2023-08-02,S,2023-07-15
62103,18157,2,2022-06-13,2022-06-14,S,2022-06-10
66278,18157,2,2022-09-13,2022-09-21,S,2022-09-10
64928,18157,2,2022-08-13,2022-08-14,S,2022-08-10
76806,18188,2,2023-04-13,2023-05-02,S,2023-04-10
75333,18188,2,2023-03-13,2023-03-15,S,2023-03-10
58022,18336,2,2022-03-15,2022-03-31,S,2022-03-05
81894,18336,2,2023-08-08,,N,2023-08-05
80656,18336,2,2023-07-08,2023-07-11,S,2023-07-05
77792,18336,2,2023-05-08,2023-05-25,S,2023-05-05
62723,18383,9,2022-06-23,2022-08-23,S,2022-06-20
65482,18383,3,2022-08-23,2022-12-01,S,
56830,18383,2,2022-01-30,2022-01-31,S,2022-01-20
58606,18383,2,2022-03-30,2022-05-07,S,2022-03-20
50953,18383,2,2021-05-30,2021-06-10,S,2021-05-20
70289,18383,5,2022-12-01,,N,
58078,18388,2,2022-03-20,2022-04-16,S,2022-03-10
60561,18388,2,2022-05-13,2022-06-07,S,2022-05-10
82246,18388,2,2023-08-13,2023-08-16,S,2023-08-10
79597,18388,2,2023-06-13,2023-06-17,S,2023-06-10
76807,18388,2,2023-04-13,2023-04-15,S,2023-04-10
77905,18388,2,2023-05-13,2023-05-19,S,2023-05-10
80852,18388,2,2023-07-13,2023-07-15,S,2023-07-10
72080,18388,2,2023-01-13,2023-01-24,S,2023-01-10
73813,18388,2,2023-02-13,2023-03-11,S,2023-02-10
70813,18388,2,2022-12-13,2022-12-20,S,2022-12-10
62445,18451,9,2022-06-18,2022-08-18,S,2022-06-15
65272,18451,3,2022-08-18,,N,
76362,18455,2,2023-04-08,2023-04-10,S,2023-04-05
82247,18487,2,2023-08-13,,N,2023-08-10
79599,18487,2,2023-06-13,2023-07-14,S,2023-06-10
76414,18487,2,2023-04-13,2023-05-23,S,2023-04-10
76861,18530,3,2023-04-13,,N,
73816,18530,2,2023-02-13,2023-04-13,S,2023-02-10
70821,18530,2,2022-12-13,2023-01-10,S,2022-12-10
61866,18530,2,2022-06-13,2022-06-15,S,2022-06-10
72729,18649,3,2023-01-18,,N,
69411,18649,2,2022-11-18,2023-01-18,S,2022-11-15
77742,18702,3,2023-04-28,,N,
74673,18702,2,2023-02-28,2023-04-28,S,2023-02-25
63366,18726,9,2022-07-13,2022-09-13,S,2022-07-10
60566,18726,2,2022-05-13,2022-05-15,S,2022-05-10
78636,18726,5,2023-05-23,,N,
66386,18726,3,2022-09-13,2023-05-23,S,
61871,18726,2,2022-06-13,2022-06-16,S,2022-06-10
70890,18731,3,2022-12-13,,N,
67819,18731,2,2022-10-13,2022-12-13,S,2022-10-10
59412,18765,2,2022-04-18,2022-04-19,S,2022-04-15
75655,18765,3,2023-03-18,,N,
72507,18765,2,2023-01-18,2023-03-18,S,2023-01-15
71175,18765,2,2022-12-18,2022-12-19,S,2022-12-15
81736,18870,2,2023-07-28,2023-07-31,S,2023-07-25
78936,18870,2,2023-05-28,2023-06-09,S,2023-05-25
75956,18870,2,2023-03-28,2023-04-04,S,2023-03-25
77630,18870,2,2023-04-28,2023-05-03,S,2023-04-25
70966,18891,2,2022-11-28,2022-12-18,S,2022-11-25
74689,18891,2,2023-02-28,2023-04-10,S,2023-02-25
73087,18891,2,2023-01-28,2023-01-30,S,2023-01-25
70199,18891,2,2022-11-28,2022-12-18,S,2022-11-25
75377,18909,3,2023-03-13,,N,
72101,18909,2,2023-01-13,2023-03-13,S,2023-01-10
55987,18926,3,2021-12-25,2023-03-04,S,
54296,18926,9,2021-10-25,2021-12-25,S,2021-10-15
74759,18926,5,2023-03-04,,N,
81737,18930,2,2023-07-28,2023-08-06,S,2023-07-25
78937,18930,2,2023-05-28,2023-06-13,S,2023-05-25
74690,18930,2,2023-02-28,2023-03-03,S,2023-02-25
77631,18930,2,2023-04-28,2023-04-29,S,2023-04-25
70201,18930,2,2022-11-28,2022-12-03,S,2022-11-25
62457,18950,2,2022-06-18,2022-06-22,S,2022-06-15
66678,18950,2,2022-09-18,2022-11-18,S,2022-09-15
63763,18950,2,2022-07-18,2022-08-23,S,2022-07-15
69651,18950,3,2022-11-18,,N,
71758,18972,3,2022-12-28,,N,
66974,18972,2,2022-09-28,2022-10-07,S,2022-09-25
68434,18972,2,2022-10-28,2022-12-28,S,2022-10-25
65598,18973,2,2022-08-28,2022-09-07,S,2022-08-25
81738,18973,2,2023-07-28,2023-07-29,S,2023-07-25
77632,18973,2,2023-04-28,2023-04-29,S,2023-04-25
73103,18973,2,2023-01-28,2023-02-04,S,2023-01-25
71497,18973,2,2022-12-28,2023-01-07,S,2022-12-25
63028,18973,2,2022-06-28,2022-07-20,S,2022-06-25
66975,18973,2,2022-09-28,2022-09-30,S,2022-09-25
70202,18973,2,2022-11-28,2022-12-06,S,2022-11-25
68435,18973,2,2022-10-28,2022-11-09,S,2022-10-25
52928,18990,9,2021-08-30,2021-10-30,S,2021-08-20
54413,18990,3,2021-10-30,,N,
52263,18990,2,2021-07-30,2021-08-04,S,2021-07-20
56997,19009,2,2022-02-04,2022-02-25,S,2022-01-25
61682,19009,3,2022-05-28,2022-09-13,S,
58700,19009,9,2022-04-04,2022-05-28,S,2022-03-25
65969,19009,5,2022-09-13,,N,
52716,19042,3,2021-08-20,,N,
51264,19042,9,2021-06-20,2021-08-20,S,2021-06-10
80667,19075,3,2023-07-08,,N,
77794,19075,2,2023-05-08,2023-07-08,S,2023-05-05
75488,19090,2,2023-03-18,2023-03-21,S,2023-03-15
71950,19095,5,2023-01-12,,N,
69301,19095,3,2022-11-13,2023-01-12,S,
66325,19095,2,2022-09-13,2022-11-13,S,2022-09-10
61887,19095,2,2022-06-13,2022-08-06,S,2022-06-10
59972,19105,3,2022-04-27,,N,
57408,19105,9,2022-02-20,2022-04-27,S,2022-02-10
57695,19123,9,2022-03-02,2022-04-23,S,2022-02-20
59939,19123,3,2022-04-23,2022-12-10,S,
70427,19123,5,2022-12-10,,N,
72123,19266,2,2023-01-13,2023-01-21,S,2023-01-10
79658,19273,2,2023-06-13,2023-06-24,S,2023-06-10
77967,19273,2,2023-05-13,2023-05-23,S,2023-05-10
74939,19273,2,2023-03-13,2023-03-25,S,2023-03-10
80897,19273,2,2023-07-13,,N,2023-07-10
72124,19273,2,2023-01-13,2023-01-21,S,2023-01-10
73852,19273,2,2023-02-13,2023-02-18,S,2023-02-10
79970,19318,2,2023-06-18,2023-08-15,S,2023-06-15
76906,19318,2,2023-04-18,2023-05-17,S,2023-04-15
82397,19352,3,2023-08-13,,N,
79660,19352,2,2023-06-13,2023-08-13,S,2023-06-10
